Property , Desc , Reach - Field , Reach - Type , Hive - Field , Hive - Type , Vistar - Field , Vistar - Type
screen_id , , screen:device_id , string , , , ,
internal_id , Internal Id (ours(                                   , screen:internal_publisher_scree , string , , , ,
name , unique name of the screen , screen:name , string , , , ,
resolution , ID of the resolution , screen:resolution , {id: int} , , , ,
aspect_ratio , ID of the aspect_ratio , screen:aspect_ration , {id: int} , , , ,
connectivity , Is the screen always online ? , screen:connectivity ," bool(int:0,1)",, , ,
is_audio , Does the screen accept audio ? , screen:is_audio , bool , , , ,
tags , List tags IDs , screen:tags , {id: int}[]   , , , ,
longitude , Screen location longitude , screen:longitude , float , , , ,
latitude , Screen location latitude , screen:latitude , float , , , ,
type , property type ids , screen:venue_types , {id: int}[]   , , , ,
demography_type , does the screen sends its own audience ? , screen:demography_type , string , , , ,
impressions , Default total audience , screen:total (unit ?)             , int , , , ,
data_source , data source Id , screen:audience_data_source , {id: int}[]   , , , ,
ad_types , Allowed ad types , screen:allowed_ad_types , {id: int}[]   , , , ,
image , Screen picture URL , screen:screen_img_url , string , , , ,
min_duration , Minimum allowed duration of a creative , screen:min_ad_duration (unit ?)   , int , , , ,
max_duration , Maximum allowed duration of a creative , screen:max_ad_duration (unit ?)   , int , , , ,
cpm , Screen CPM , screen:floor_cpm , int , , , ,
weekly_impressions , Weekly number of impressions generated by the screen , screen:average_weekly_impressions , int , , , ,
